"ID";"Period";"global_id";"StationName";"SurveillanceZoneCharacteristics";"AdmArea";"District";"Location";"Parameter";"MonthlyAverage";"MonthlyAveragePDKss";
"Код";"Период измерения";"global_id";"Название станции";"Характеристика зоны наблюдения";"Административный округ";"Район";"Адресный ориентир";"Измеряемый параметр";"Среднее значение в абсолютных единицах";"Среднее значение в долях ПДКсс";
"1";"02.2016";"272777248";"Лосиный остров";"Природные территории";"Восточный административный округ";"район Метрогородок";"улица Ротерта, дом 4, строение 5";"Оксид углерода";"0.19";"0.06";
"2";"02.2016";"272777249";"Глебовская";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Богородское";"Глебовская улица, дом 3, корпус 1";"Оксид углерода";"0.32";"0.11";
"3";"02.2016";"272777250";"Глебовская";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Богородское";"Глебовская улица, дом 3, корпус 1";"Сероводород";"0.001";"";
"4";"02.2016";"272777251";"Глебовская";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Богородское";"Глебовская улица, дом 3, корпус 1";"Оксид азота";"0.014";"0.23";
"5";"02.2016";"272777252";"Глебовская";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Богородское";"Глебовская улица, дом 3, корпус 1";"Диоксид азота";"0.024";"0.59";
"6";"02.2016";"272777253";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Сумма углеводородных соединений за вычетом метана";"0.12";"";
"7";"02.2016";"272777254";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Сумма углеводородных соединений";"1.7";"";
"8";"02.2016";"272777255";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Метан";"1.58";"";
"9";"02.2016";"272777256";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Оксид углерода";"0.22";"0.07";
"10";"02.2016";"272777257";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Сероводород";"0.00070";"";
"11";"02.2016";"272777258";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Оксид азота";"0.01";"0.16";
"12";"02.2016";"272777259";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Диоксид азота";"0.031";"0.78";
"13";"02.2016";"272777260";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Взвешенные частицы РМ10";"0.013";"0.22";
"14";"02.2016";"272777261";"Кожухово";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Косино-Ухтомский";"Лухмановская улица, дом 34";"Диоксид серы";"0.004";"0.08";
"15";"02.2016";"272777262";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Сумма углеводородных соединений за вычетом метана";"0.11";"";
"16";"02.2016";"272777263";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Сумма углеводородных соединений";"1.24";"";
"17";"02.2016";"272777264";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Метан";"1.13";"";
"18";"02.2016";"272777265";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Оксид углерода";"0.34";"0.11";
"19";"02.2016";"272777266";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Сероводород";"0.00090";"";
"20";"02.2016";"272777267";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Оксид азота";"0.008";"0.14";
"21";"02.2016";"272777268";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Диоксид азота";"0.03";"0.76";
"22";"02.2016";"272777269";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Взвешенные частицы РМ10";"0.016";"0.27";
"23";"02.2016";"272777270";"Новокосино";"Смешанные антропогенные источники загрязнений";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 7, корпус 2";"Взвешенные частицы РМ2.5";"0.01";"0.28";
"24";"02.2016";"272777271";"МГУ";"Природные территории";"Западный административный округ";"район Раменки";"Ленинские Горы, дом 1, строение 27";"Оксид углерода";"0.29";"0.1";
"25";"02.2016";"272777272";"МГУ";"Природные территории";"Западный административный округ";"район Раменки";"Ленинские Горы, дом 1, строение 27";"Оксид азота";"0.011";"0.19";
"26";"02.2016";"272777273";"МГУ";"Природные территории";"Западный административный округ";"район Раменки";"Ленинские Горы, дом 1, строение 27";"Диоксид азота";"0.023";"0.58";
"27";"02.2016";"272777274";"МГУ";"Природные территории";"Западный административный округ";"район Раменки";"Ленинские Горы, дом 1, строение 27";"Озон";"0.0452";"1.51";
"28";"02.2016";"272777275";"МГУ";"Природные территории";"Западный административный округ";"район Раменки";"Ленинские Горы, дом 1, строение 27";"Взвешенные частицы РМ10";"0.013";"0.21";
"29";"02.2016";"272777276";"МГУ";"Природные территории";"Западный административный округ";"район Раменки";"Ленинские Горы, дом 1, строение 27";"Диоксид серы";"0.003";"0.06";
"30";"02.2016";"272777277";"Академика Анохина";"Жилые территории";"Западный административный округ";"район Тропарёво-Никулино";"улица Академика Анохина, дом 38, корпус 1";"Оксид углерода";"0.21";"0.07";
"31";"02.2016";"272777278";"Академика Анохина";"Жилые территории";"Западный административный округ";"район Тропарёво-Никулино";"улица Академика Анохина, дом 38, корпус 1";"Оксид азота";"0.01";"0.17";
"32";"02.2016";"272777279";"Академика Анохина";"Жилые территории";"Западный административный округ";"район Тропарёво-Никулино";"улица Академика Анохина, дом 38, корпус 1";"Диоксид азота";"0.032";"0.8";
"33";"02.2016";"272777280";"Толбухина";"Жилые территории";"Западный административный округ";"Можайский район";"улица Толбухина, дом 10, корпус 4";"Оксид углерода";"0.3";"0.1";
"34";"02.2016";"272777281";"Толбухина";"Жилые территории";"Западный административный округ";"Можайский район";"улица Толбухина, дом 10, корпус 4";"Оксид азота";"0.015";"0.24";
"35";"02.2016";"272777282";"Толбухина";"Жилые территории";"Западный административный округ";"Можайский район";"улица Толбухина, дом 10, корпус 4";"Диоксид азота";"0.042";"1.04";
"36";"02.2016";"272777283";"Толбухина";"Жилые территории";"Западный административный округ";"Можайский район";"улица Толбухина, дом 10, корпус 4";"Озон";"0.0385";"1.28";
"37";"02.2016";"272777284";"Зеленоград 6";"Жилые территории";"Зеленоградский административный округ";"район Савёлки";"город Зеленоград, корпус 623";"Оксид углерода";"0.31";"0.1";
"38";"02.2016";"272777285";"Зеленоград 6";"Жилые территории";"Зеленоградский административный округ";"район Савёлки";"город Зеленоград, корпус 623";"Оксид азота";"0.013";"0.22";
"39";"02.2016";"272777286";"Зеленоград 6";"Жилые территории";"Зеленоградский административный округ";"район Савёлки";"город Зеленоград, корпус 623";"Диоксид азота";"0.018";"0.45";
"40";"02.2016";"272777287";"Зеленоград 11";"Жилые территории";"Зеленоградский административный округ";"район Силино";"город Зеленоград, корпус 1140";"Сумма углеводородных соединений за вычетом метана";"0.1";"";
"41";"02.2016";"272777288";"Зеленоград 11";"Жилые территории";"Зеленоградский административный округ";"район Силино";"город Зеленоград, корпус 1140";"Сумма углеводородных соединений";"1.35";"";
"42";"02.2016";"272777289";"Зеленоград 11";"Жилые территории";"Зеленоградский административный округ";"район Силино";"город Зеленоград, корпус 1140";"Метан";"1.25";"";
"43";"02.2016";"272777290";"Зеленоград 11";"Жилые территории";"Зеленоградский административный округ";"район Силино";"город Зеленоград, корпус 1140";"Оксид углерода";"0.25";"0.08";
"44";"02.2016";"272777291";"Зеленоград 11";"Жилые территории";"Зеленоградский административный округ";"район Силино";"город Зеленоград, корпус 1140";"Оксид азота";"0.01";"0.17";
"45";"02.2016";"272777292";"Зеленоград 11";"Жилые территории";"Зеленоградский административный округ";"район Силино";"город Зеленоград, корпус 1140";"Диоксид азота";"0.027";"0.67";
"46";"02.2016";"272777293";"Зеленоград 11";"Жилые территории";"Зеленоградский административный округ";"район Силино";"город Зеленоград, корпус 1140";"Взвешенные частицы РМ10";"0.01";"0.17";
"47";"02.2016";"272777294";"Зеленоград 16";"Жилые территории";"Зеленоградский административный округ";"район Крюково";"город Зеленоград, корпус 1606";"Оксид углерода";"0.49";"0.16";
"48";"02.2016";"272777295";"Зеленоград 16";"Жилые территории";"Зеленоградский административный округ";"район Крюково";"город Зеленоград, корпус 1606";"Оксид азота";"0.028";"0.46";
"49";"02.2016";"272777296";"Зеленоград 16";"Жилые территории";"Зеленоградский административный округ";"район Крюково";"город Зеленоград, корпус 1606";"Диоксид азота";"0.045";"1.13";
"50";"02.2016";"272777297";"Зеленоград 16";"Жилые территории";"Зеленоградский административный округ";"район Крюково";"город Зеленоград, корпус 1606";"Озон";"0.0311";"1.04";
"51";"02.2016";"272777298";"Саларьево";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Сосенское";"деревня Николо-Хованское, дом 99, корпус 6";"Сумма углеводородных соединений за вычетом метана";"0.34";"";
"52";"02.2016";"272777299";"Саларьево";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Сосенское";"деревня Николо-Хованское, дом 99, корпус 6";"Сумма углеводородных соединений";"2.61";"";
"53";"02.2016";"272777300";"Саларьево";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Сосенское";"деревня Николо-Хованское, дом 99, корпус 6";"Метан";"2.28";"";
"54";"02.2016";"272777301";"Саларьево";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Сосенское";"деревня Николо-Хованское, дом 99, корпус 6";"Оксид углерода";"0.22";"0.07";
"55";"02.2016";"272777302";"Саларьево";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Сосенское";"деревня Николо-Хованское, дом 99, корпус 6";"Сероводород";"0.0015";"";
"56";"02.2016";"272777303";"Саларьево";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Сосенское";"деревня Николо-Хованское, дом 99, корпус 6";"Аммиак";"0.0049";"0.12";
"57";"02.2016";"272777304";"Саларьево";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Сосенское";"деревня Николо-Хованское, дом 99, корпус 6";"Оксид азота";"0.007";"0.12";
"58";"02.2016";"272777305";"Саларьево";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Сосенское";"деревня Николо-Хованское, дом 99, корпус 6";"Диоксид азота";"0.02";"0.51";
"59";"02.2016";"272777306";"Саларьево";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Сосенское";"деревня Николо-Хованское, дом 99, корпус 6";"Взвешенные частицы РМ10 (суточные измерения)";"0.0125";"0.21";
"60";"02.2016";"272777307";"Щербинка";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Щербинка";"г .Щербинка, город Щербинка, Пушкинская улица, дом 6";"Оксид углерода";"0.45";"0.15";
"61";"02.2016";"272777308";"Щербинка";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Щербинка";"г .Щербинка, город Щербинка, Пушкинская улица, дом 6";"Оксид азота";"0.019";"0.31";
"62";"02.2016";"272777309";"Щербинка";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Щербинка";"г .Щербинка, город Щербинка, Пушкинская улица, дом 6";"Диоксид азота";"0.031";"0.76";
"63";"02.2016";"272777310";"Щербинка";"Территория Новой Москвы";"Новомосковский административный округ";"поселение Щербинка";"г .Щербинка, город Щербинка, Пушкинская улица, дом 6";"Взвешенные частицы РМ10 (суточные измерения)";"0.0142";"0.24";
"64";"02.2016";"272777311";"МАДИ";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, дом 64";"Сумма углеводородных соединений за вычетом метана";"0.1";"";
"65";"02.2016";"272777312";"МАДИ";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, дом 64";"Сумма углеводородных соединений";"1.37";"";
"66";"02.2016";"272777313";"МАДИ";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, дом 64";"Метан";"1.27";"";
"67";"02.2016";"272777314";"МАДИ";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, дом 64";"Оксид углерода";"0.47";"0.16";
"68";"02.2016";"272777315";"МАДИ";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, дом 64";"Оксид азота";"0.036";"0.6";
"69";"02.2016";"272777316";"МАДИ";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, дом 64";"Диоксид азота";"0.047";"1.18";
"70";"02.2016";"272777317";"МАДИ";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, дом 64";"Кислород";"20.62";"";
"71";"02.2016";"272777318";"МАДИ";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, дом 64";"Взвешенные частицы РМ10 (суточные измерения)";"0.0253";"0.42";
"72";"02.2016";"272777319";"МАДИ";"Вблизи автомагистралей";"Северный административный округ";"район Аэропорт";"Ленинградский проспект, дом 64";"Взвешенные частицы РМ2.5 (суточные измерения)";"0.0147";"0.42";
"73";"02.2016";"272777320";"Долгопрудная";"Смешанные антропогенные источники загрязнений";"Северный административный округ";"Дмитровский район";"Карельский бульвар, дом 14/16";"Сумма углеводородных соединений за вычетом метана";"0.2";"";
"74";"02.2016";"272777321";"Долгопрудная";"Смешанные антропогенные источники загрязнений";"Северный административный округ";"Дмитровский район";"Карельский бульвар, дом 14/16";"Сумма углеводородных соединений";"1.64";"";
"75";"02.2016";"272777322";"Долгопрудная";"Смешанные антропогенные источники загрязнений";"Северный административный округ";"Дмитровский район";"Карельский бульвар, дом 14/16";"Метан";"1.44";"";
"76";"02.2016";"272777323";"Долгопрудная";"Смешанные антропогенные источники загрязнений";"Северный административный округ";"Дмитровский район";"Карельский бульвар, дом 14/16";"Оксид углерода";"0.48";"0.16";
"77";"02.2016";"272777324";"Долгопрудная";"Смешанные антропогенные источники загрязнений";"Северный административный округ";"Дмитровский район";"Карельский бульвар, дом 14/16";"Оксид азота";"0.015";"0.24";
"78";"02.2016";"272777325";"Долгопрудная";"Смешанные антропогенные источники загрязнений";"Северный административный округ";"Дмитровский район";"Карельский бульвар, дом 14/16";"Диоксид азота";"0.036";"0.91";
"79";"02.2016";"272777326";"Долгопрудная";"Смешанные антропогенные источники загрязнений";"Северный административный округ";"Дмитровский район";"Карельский бульвар, дом 14/16";"Взвешенные частицы РМ10";"0.011";"0.19";
"80";"02.2016";"272777327";"Долгопрудная";"Смешанные антропогенные источники загрязнений";"Северный административный округ";"Дмитровский район";"Карельский бульвар, дом 14/16";"Взвешенные частицы РМ2.5";"0.007";"0.2";
"81";"02.2016";"272777328";"Долгопрудная";"Смешанные антропогенные источники загрязнений";"Северный административный округ";"Дмитровский район";"Карельский бульвар, дом 14/16";"Диоксид серы";"0.003";"0.05";
"82";"02.2016";"272777329";"Коптевский";"Жилые территории";"Северный административный округ";"район Коптево";"Коптевский бульвар, дом 16, корпус 1, строение 1";"Оксид углерода";"0.32";"0.11";
"83";"02.2016";"272777330";"Коптевский";"Жилые территории";"Северный административный округ";"район Коптево";"Коптевский бульвар, дом 16, корпус 1, строение 1";"Оксид азота";"0.009";"0.15";
"84";"02.2016";"272777331";"Коптевский";"Жилые территории";"Северный административный округ";"район Коптево";"Коптевский бульвар, дом 16, корпус 1, строение 1";"Диоксид азота";"0.034";"0.86";
"85";"02.2016";"272777332";"Нижняя Масловка";"Вблизи автомагистралей";"Северный административный округ";"Савёловский район";"улица Нижняя Масловка, дом 10";"Оксид углерода";"0.84";"0.28";
"86";"02.2016";"272777333";"Нижняя Масловка";"Вблизи автомагистралей";"Северный административный округ";"Савёловский район";"улица Нижняя Масловка, дом 10";"Диоксид азота";"0.068";"1.7";
"87";"02.2016";"272777334";"Нижняя Масловка";"Вблизи автомагистралей";"Северный административный округ";"Савёловский район";"улица Нижняя Масловка, дом 10";"Озон";"0.0293";"0.98";
"88";"02.2016";"272777335";"Нижняя Масловка";"Вблизи автомагистралей";"Северный административный округ";"Савёловский район";"улица Нижняя Масловка, дом 10";"Диоксид серы";"0.003";"0.07";
"89";"02.2016";"272777336";"Нижняя Масловка";"Вблизи автомагистралей";"Северный административный округ";"Савёловский район";"улица Нижняя Масловка, дом 10";"C6H6 (бензол)";"0.007";"0.08";
"90";"02.2016";"272777337";"Нижняя Масловка";"Вблизи автомагистралей";"Северный административный округ";"Савёловский район";"улица Нижняя Масловка, дом 10";"C6H5OH (фенол)";"0.00030";"0.05";
"91";"02.2016";"272777338";"Нижняя Масловка";"Вблизи автомагистралей";"Северный административный округ";"Савёловский район";"улица Нижняя Масловка, дом 10";"CH2O (формальдегид)";"0.00020";"0.02";
"92";"02.2016";"272777339";"Светлый проезд";"Вблизи автомагистралей";"Северный административный округ";"район Сокол";"Светлый проезд, дом 12";"Оксид углерода";"0.31";"0.1";
"93";"02.2016";"272777340";"Светлый проезд";"Вблизи автомагистралей";"Северный административный округ";"район Сокол";"Светлый проезд, дом 12";"Оксид азота";"0.011";"0.19";
"94";"02.2016";"272777341";"Светлый проезд";"Вблизи автомагистралей";"Северный административный округ";"район Сокол";"Светлый проезд, дом 12";"Диоксид азота";"0.028";"0.7";
"95";"02.2016";"272777342";"Полярная";"Смешанные антропогенные источники загрязнений";"Северо-Восточный административный округ";"район Южное Медведково";"Полярная улица, дом 10, строение 1";"Сумма углеводородных соединений за вычетом метана";"0.13";"";
"96";"02.2016";"272777343";"Полярная";"Смешанные антропогенные источники загрязнений";"Северо-Восточный административный округ";"район Южное Медведково";"Полярная улица, дом 10, строение 1";"Сумма углеводородных соединений";"1.63";"";
"97";"02.2016";"272777344";"Полярная";"Смешанные антропогенные источники загрязнений";"Северо-Восточный административный округ";"район Южное Медведково";"Полярная улица, дом 10, строение 1";"Метан";"1.5";"";
"98";"02.2016";"272777345";"Полярная";"Смешанные антропогенные источники загрязнений";"Северо-Восточный административный округ";"район Южное Медведково";"Полярная улица, дом 10, строение 1";"Оксид углерода";"0.5";"0.17";
"99";"02.2016";"272777346";"Полярная";"Смешанные антропогенные источники загрязнений";"Северо-Восточный административный округ";"район Южное Медведково";"Полярная улица, дом 10, строение 1";"Сероводород";"0.001";"";
"100";"02.2016";"272777347";"Полярная";"Смешанные антропогенные источники загрязнений";"Северо-Восточный административный округ";"район Южное Медведково";"Полярная улица, дом 10, строение 1";"Оксид азота";"0.02";"0.34";
"101";"02.2016";"272777348";"Полярная";"Смешанные антропогенные источники загрязнений";"Северо-Восточный административный округ";"район Южное Медведково";"Полярная улица, дом 10, строение 1";"Диоксид азота";"0.043";"1.08";
"102";"02.2016";"272777349";"Полярная";"Смешанные антропогенные источники загрязнений";"Северо-Восточный административный округ";"район Южное Медведково";"Полярная улица, дом 10, строение 1";"Диоксид серы";"0.005";"0.1";
"103";"02.2016";"272777350";"Останкино 0";"Жилые территории";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королёва, дом 15А";"Сумма углеводородных соединений за вычетом метана";"0.15";"";
"104";"02.2016";"272777351";"Останкино 0";"Жилые территории";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королёва, дом 15А";"Сумма углеводородных соединений";"1.42";"";
"105";"02.2016";"272777352";"Останкино 0";"Жилые территории";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королёва, дом 15А";"Метан";"1.26";"";
"106";"02.2016";"272777353";"Останкино 0";"Жилые территории";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королёва, дом 15А";"Оксид углерода";"0.32";"0.11";
"107";"02.2016";"272777354";"Останкино 0";"Жилые территории";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королёва, дом 15А";"Оксид азота";"0.006";"0.09";
"108";"02.2016";"272777355";"Останкино 0";"Жилые территории";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королёва, дом 15А";"Диоксид азота";"0.015";"0.38";
"109";"02.2016";"272777356";"Останкино 0";"Жилые территории";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королёва, дом 15А";"Взвешенные частицы РМ10";"0.012";"0.2";
"110";"02.2016";"272777357";"Останкино 0";"Жилые территории";"Северо-Восточный административный округ";"Останкинский район";"улица Академика Королёва, дом 15А";"Диоксид серы";"0";"0.01";
"111";"02.2016";"272777358";"Народного ополчения";"Вблизи автомагистралей";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"улица Народного Ополчения, дом 21, корпус 1";"Оксид углерода";"0.3";"0.1";
"112";"02.2016";"272777359";"Народного ополчения";"Вблизи автомагистралей";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"улица Народного Ополчения, дом 21, корпус 1";"Оксид азота";"0.033";"0.55";
"113";"02.2016";"272777360";"Народного ополчения";"Вблизи автомагистралей";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"улица Народного Ополчения, дом 21, корпус 1";"Диоксид азота";"0.057";"1.44";
"114";"02.2016";"272777361";"Народного ополчения";"Вблизи автомагистралей";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"улица Народного Ополчения, дом 21, корпус 1";"Взвешенные частицы РМ10";"0.016";"0.27";
"115";"02.2016";"272777362";"Народного ополчения";"Вблизи автомагистралей";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"улица Народного Ополчения, дом 21, корпус 1";"Взвешенные частицы РМ2.5";"0.008";"0.22";
"116";"02.2016";"272777363";"Народного ополчения";"Вблизи автомагистралей";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"улица Народного Ополчения, дом 21, корпус 1";"Диоксид серы";"0.003";"0.06";
"117";"02.2016";"272777364";"Туристская";"Жилые территории";"Северо-Западный административный округ";"район Северное Тушино";"Туристская улица, дом 18";"Сумма углеводородных соединений за вычетом метана";"0.09";"";
"118";"02.2016";"272777365";"Туристская";"Жилые территории";"Северо-Западный административный округ";"район Северное Тушино";"Туристская улица, дом 18";"Сумма углеводородных соединений";"1.41";"";
"119";"02.2016";"272777366";"Туристская";"Жилые территории";"Северо-Западный административный округ";"район Северное Тушино";"Туристская улица, дом 18";"Метан";"1.32";"";
"120";"02.2016";"272777367";"Туристская";"Жилые территории";"Северо-Западный административный округ";"район Северное Тушино";"Туристская улица, дом 18";"Оксид углерода";"0.31";"0.1";
"121";"02.2016";"272777368";"Туристская";"Жилые территории";"Северо-Западный административный округ";"район Северное Тушино";"Туристская улица, дом 18";"Оксид азота";"0.01";"0.17";
"122";"02.2016";"272777369";"Туристская";"Жилые территории";"Северо-Западный административный округ";"район Северное Тушино";"Туристская улица, дом 18";"Диоксид азота";"0.04";"1";
"123";"02.2016";"272777370";"Туристская";"Жилые территории";"Северо-Западный административный округ";"район Северное Тушино";"Туристская улица, дом 18";"Озон";"0.0285";"0.95";
"124";"02.2016";"272777371";"Туристская";"Жилые территории";"Северо-Западный административный округ";"район Северное Тушино";"Туристская улица, дом 18";"Кислород";"20.7";"";
"125";"02.2016";"272777372";"Рогово";"Территория Новой Москвы";"Троицкий административный округ";"поселение Роговское";"посёлок Рогово, Школьная улица, дом 17";"Оксид углерода";"0.23";"0.08";
"126";"02.2016";"272777373";"Рогово";"Территория Новой Москвы";"Троицкий административный округ";"поселение Роговское";"посёлок Рогово, Школьная улица, дом 17";"Аммиак";"0.001";"0.03";
"127";"02.2016";"272777374";"Рогово";"Территория Новой Москвы";"Троицкий административный округ";"поселение Роговское";"посёлок Рогово, Школьная улица, дом 17";"Оксид азота";"0.002";"0.03";
"128";"02.2016";"272777375";"Рогово";"Территория Новой Москвы";"Троицкий административный округ";"поселение Роговское";"посёлок Рогово, Школьная улица, дом 17";"Диоксид азота";"0.009";"0.23";
"129";"02.2016";"272777376";"Троицк";"Территория Новой Москвы";"Троицкий административный округ";"поселение Троицк";"г. Троицк, город Троицк, улица Текстильщиков, дом 4";"Сумма углеводородных соединений за вычетом метана";"0.12";"";
"130";"02.2016";"272777377";"Троицк";"Территория Новой Москвы";"Троицкий административный округ";"поселение Троицк";"г. Троицк, город Троицк, улица Текстильщиков, дом 4";"Сумма углеводородных соединений";"1.52";"";
"131";"02.2016";"272777378";"Троицк";"Территория Новой Москвы";"Троицкий административный округ";"поселение Троицк";"г. Троицк, город Троицк, улица Текстильщиков, дом 4";"Метан";"1.4";"";
"132";"02.2016";"272777379";"Троицк";"Территория Новой Москвы";"Троицкий административный округ";"поселение Троицк";"г. Троицк, город Троицк, улица Текстильщиков, дом 4";"Оксид углерода";"0.2";"0.07";
"133";"02.2016";"272777380";"Троицк";"Территория Новой Москвы";"Троицкий административный округ";"поселение Троицк";"г. Троицк, город Троицк, улица Текстильщиков, дом 4";"Оксид азота";"0.009";"0.15";
"134";"02.2016";"272777381";"Троицк";"Территория Новой Москвы";"Троицкий административный округ";"поселение Троицк";"г. Троицк, город Троицк, улица Текстильщиков, дом 4";"Диоксид азота";"0.018";"0.45";
"135";"02.2016";"272777382";"Троицк";"Территория Новой Москвы";"Троицкий административный округ";"поселение Троицк";"г. Троицк, город Троицк, улица Текстильщиков, дом 4";"Взвешенные частицы РМ10 (суточные измерения)";"0.012";"0.2";
"136";"02.2016";"272777383";"Троицк";"Территория Новой Москвы";"Троицкий административный округ";"поселение Троицк";"г. Троицк, город Троицк, улица Текстильщиков, дом 4";"Диоксид серы";"0.001";"0.03";
"137";"02.2016";"272777384";"Кузнецово";"Территория Новой Москвы";"Троицкий административный округ";"поселение Новофедоровское";"деревня Яковлевское, дом 125";"Сумма углеводородных соединений за вычетом метана";"0.15";"";
"138";"02.2016";"272777385";"Кузнецово";"Территория Новой Москвы";"Троицкий административный округ";"поселение Новофедоровское";"деревня Яковлевское, дом 125";"Сумма углеводородных соединений";"1.57";"";
